Row,MEDV
194,31.1
195,29.1
196,50
197,33.3
198,30.3
199,34.6
200,34.9
201,32.9
202,24.1
203,42.3
204,48.5
205,50
206,22.6
207,24.4
208,22.5
209,24.4
210,20
211,21.7
212,19.3
213,22.4
214,28.1
215,23.7
216,25
217,23.3
218,28.7
219,21.5
220,23
221,26.7
222,21.7
223,27.5
224,30.1
225,44.8
226,50
227,37.6
228,31.6
229,46.7
230,31.5
231,24.3
232,31.7
233,41.7
234,48.3
235,29
236,24
237,25.1
238,31.5
239,23.7
240,23.3
241,22
242,20.1
243,22.2
244,23.7
245,17.6
246,18.5
247,24.3
248,20.5
249,24.5
250,26.2
251,24.4
252,24.8
253,29.6
254,42.8
255,21.9
256,20.9
257,44
258,50
259,36
260,30.1
261,33.8
262,43.1
263,48.8
264,31
265,36.5
266,22.8
267,30.7
268,50
269,43.5
270,20.7
271,21.1
272,25.2
273,24.4
274,35.2
275,32.4
276,32
277,33.2
278,33.1
279,29.1
280,35.1
281,45.4
282,35.4
283,46
284,50
285,32.2
286,22
287,20.1
288,23.2
289,22.3
290,24.8
291,28.5
292,37.3
293,27.9
294,23.9
295,21.7
296,28.6
297,27.1
298,20.3
299,22.5
300,29
301,24.8
302,22
303,26.4
304,33.1
305,36.1
306,28.4
307,33.4
308,28.2
309,22.8
310,20.3
311,16.1
312,22.1
313,19.4
314,21.6
315,23.8
316,16.2
317,17.8
318,19.8
319,23.1
320,21
321,23.8
322,23.1
323,20.4
324,18.5
325,25
326,24.6
327,23
328,22.2
329,19.3
330,22.6
331,19.8
332,17.1
333,19.4
334,22.2
335,20.7
336,21.1
337,19.5
338,18.5
339,20.6
340,19
341,18.7
342,32.7
343,16.5
344,23.9
345,31.2
346,17.5
347,17.2
348,23.1
349,24.5
350,26.6
351,22.9
352,24.1
353,18.6
354,30.1
355,18.2
356,20.6
357,17.8
358,21.7
359,22.7
360,22.6
361,25
362,19.9
363,20.8
364,16.8
365,21.9
366,27.5
367,21.9
368,23.1
369,50
370,50
371,50
372,50
373,50
374,13.8
375,13.8
376,15
377,13.9
378,13.3
379,13.1
380,10.2
381,10.4
382,10.9
383,11.3
384,12.3
385,8.8
386,7.2
387,10.5
388,7.4
389,10.2
390,11.5
391,15.1
392,23.2
393,9.7
394,13.8
395,12.7
396,13.1
397,12.5
398,8.5
399,5
400,6.3
401,5.6
402,7.2
403,12.1
404,8.3
405,8.5
406,5
407,11.9
408,27.9
409,17.2
410,27.5
411,15
412,17.2
413,17.9
414,16.3
415,7
416,7.2
417,7.5
418,10.4
419,8.8
420,8.4
421,16.7
422,14.2
423,20.8
424,13.4
425,11.7
426,8.3
427,10.2
428,10.9
429,11
430,9.5
431,14.5
432,14.1
433,16.1
434,14.3
435,11.7
436,13.4
437,9.6
438,8.7
439,8.4
440,12.8
441,10.5
442,17.1
443,18.4
444,15.4
445,10.8
446,11.8
447,14.9
448,12.6
449,14.1
450,13
451,13.4
452,15.2
453,16.1
454,17.8
455,14.9
456,14.1
457,12.7
458,13.5
459,14.9
460,20
461,16.4
462,17.7
463,19.5
464,20.2
465,21.4
466,19.9
467,19
468,19.1
469,19.1
470,20.1
471,19.9
472,19.6
473,23.2
474,29.8
475,13.8
476,13.3
477,16.7
478,12
479,14.6
480,21.4
481,23
482,23.7
483,25
484,21.8
485,20.6
486,21.2
487,19.1
488,20.6
489,15.2
490,7
491,8.1
492,13.6
493,20.1
494,21.8
495,24.5
496,23.1
497,19.7
498,18.3
499,21.2
500,17.5
501,16.8
502,22.4
503,20.6
504,23.9
505,22
506,11.9
