Region,Country,Store,SKU,date,quantity
APAC,Australia,Store11,phone-black,2020-09-14,33
APAC,Australia,Store11,phone-white,2020-09-14,87
APAC,Australia,Store11,computer-18 inch,2020-09-14,115
APAC,Australia,Store11,computer-15 inch,2020-09-14,122
APAC,Australia,Store12,phone-black,2020-09-14,272
APAC,Australia,Store12,phone-white,2020-09-14,181
APAC,Australia,Store12,computer-18 inch,2020-09-14,140
APAC,Australia,Store12,computer-15 inch,2020-09-14,137
APAC,Australia,Store11,phone-black,2020-09-15,24
APAC,Australia,Store11,phone-white,2020-09-15,109
APAC,Australia,Store11,computer-18 inch,2020-09-15,111
APAC,Australia,Store11,computer-15 inch,2020-09-15,128
APAC,Australia,Store12,phone-black,2020-09-15,168
APAC,Australia,Store12,phone-white,2020-09-15,98
APAC,Australia,Store12,computer-18 inch,2020-09-15,14
APAC,Australia,Store12,computer-15 inch,2020-09-15,175
APAC,Australia,Store11,phone-black,2020-09-16,28
APAC,Australia,Store11,phone-white,2020-09-16,82
APAC,Australia,Store11,computer-18 inch,2020-09-16,169
APAC,Australia,Store11,computer-15 inch,2020-09-16,90
APAC,Australia,Store12,phone-black,2020-09-16,175
APAC,Australia,Store12,phone-white,2020-09-16,165
APAC,Australia,Store12,computer-18 inch,2020-09-16,137
APAC,Australia,Store12,computer-15 inch,2020-09-16,64
APAC,Australia,Store11,phone-black,2020-09-17,41
APAC,Australia,Store11,phone-white,2020-09-17,84
APAC,Australia,Store11,computer-18 inch,2020-09-17,145
APAC,Australia,Store11,computer-15 inch,2020-09-17,122
APAC,Australia,Store12,phone-black,2020-09-17,200
APAC,Australia,Store12,phone-white,2020-09-17,230
APAC,Australia,Store12,computer-18 inch,2020-09-17,55
APAC,Australia,Store12,computer-15 inch,2020-09-17,176
APAC,Australia,Store11,phone-black,2020-09-18,80
APAC,Australia,Store11,phone-white,2020-09-18,69
APAC,Australia,Store11,computer-18 inch,2020-09-18,168
APAC,Australia,Store11,computer-15 inch,2020-09-18,101
APAC,Australia,Store12,phone-black,2020-09-18,86
APAC,Australia,Store12,phone-white,2020-09-18,154
APAC,Australia,Store12,computer-18 inch,2020-09-18,98
APAC,Australia,Store12,computer-15 inch,2020-09-18,106
APAC,Australia,Store11,phone-black,2020-09-19,39
APAC,Australia,Store11,phone-white,2020-09-19,93
APAC,Australia,Store11,computer-18 inch,2020-09-19,210
APAC,Australia,Store11,computer-15 inch,2020-09-19,128
APAC,Australia,Store12,phone-black,2020-09-19,116
APAC,Australia,Store12,phone-white,2020-09-19,105
APAC,Australia,Store12,computer-18 inch,2020-09-19,89
APAC,Australia,Store12,computer-15 inch,2020-09-19,156
APAC,Australia,Store11,phone-black,2020-09-20,67
APAC,Australia,Store11,phone-white,2020-09-20,92
APAC,Australia,Store11,computer-18 inch,2020-09-20,165
APAC,Australia,Store11,computer-15 inch,2020-09-20,99
APAC,Australia,Store12,phone-black,2020-09-20,131
APAC,Australia,Store12,phone-white,2020-09-20,109
APAC,Australia,Store12,computer-18 inch,2020-09-20,64
APAC,Australia,Store12,computer-15 inch,2020-09-20,48
APAC,Australia,Store11,phone-black,2020-09-21,31
APAC,Australia,Store11,phone-white,2020-09-21,73
APAC,Australia,Store11,computer-18 inch,2020-09-21,169
APAC,Australia,Store11,computer-15 inch,2020-09-21,128
APAC,Australia,Store12,phone-black,2020-09-21,155
APAC,Australia,Store12,phone-white,2020-09-21,194
APAC,Australia,Store12,computer-18 inch,2020-09-21,118
APAC,Australia,Store12,computer-15 inch,2020-09-21,126
APAC,Australia,Store11,phone-black,2020-09-22,11
APAC,Australia,Store11,phone-white,2020-09-22,123
APAC,Australia,Store11,computer-18 inch,2020-09-22,180
APAC,Australia,Store11,computer-15 inch,2020-09-22,81
APAC,Australia,Store12,phone-black,2020-09-22,230
APAC,Australia,Store12,phone-white,2020-09-22,134
APAC,Australia,Store12,computer-18 inch,2020-09-22,156
APAC,Australia,Store12,computer-15 inch,2020-09-22,150
APAC,Australia,Store11,phone-black,2020-09-23,69
APAC,Australia,Store11,phone-white,2020-09-23,113
APAC,Australia,Store11,computer-18 inch,2020-09-23,204
APAC,Australia,Store11,computer-15 inch,2020-09-23,121
APAC,Australia,Store12,phone-black,2020-09-23,219
APAC,Australia,Store12,phone-white,2020-09-23,225
APAC,Australia,Store12,computer-18 inch,2020-09-23,122
APAC,Australia,Store12,computer-15 inch,2020-09-23,176
APAC,Australia,Store11,phone-black,2020-09-24,66
APAC,Australia,Store11,phone-white,2020-09-24,94
APAC,Australia,Store11,computer-18 inch,2020-09-24,138
APAC,Australia,Store11,computer-15 inch,2020-09-24,198
APAC,Australia,Store12,phone-black,2020-09-24,193
APAC,Australia,Store12,phone-white,2020-09-24,174
APAC,Australia,Store12,computer-18 inch,2020-09-24,80
APAC,Australia,Store12,computer-15 inch,2020-09-24,133
APAC,Australia,Store11,phone-black,2020-09-25,71
APAC,Australia,Store11,phone-white,2020-09-25,83
APAC,Australia,Store11,computer-18 inch,2020-09-25,235
APAC,Australia,Store11,computer-15 inch,2020-09-25,87
APAC,Australia,Store12,phone-black,2020-09-25,108
APAC,Australia,Store12,phone-white,2020-09-25,156
APAC,Australia,Store12,computer-18 inch,2020-09-25,101
APAC,Australia,Store12,computer-15 inch,2020-09-25,141
APAC,Australia,Store11,phone-black,2020-09-26,41
APAC,Australia,Store11,phone-white,2020-09-26,111
APAC,Australia,Store11,computer-18 inch,2020-09-26,129
APAC,Australia,Store11,computer-15 inch,2020-09-26,78
APAC,Australia,Store12,phone-black,2020-09-26,167
APAC,Australia,Store12,phone-white,2020-09-26,153
APAC,Australia,Store12,computer-18 inch,2020-09-26,77
APAC,Australia,Store12,computer-15 inch,2020-09-26,107
APAC,Australia,Store11,phone-black,2020-09-27,59
APAC,Australia,Store11,phone-white,2020-09-27,49
APAC,Australia,Store11,computer-18 inch,2020-09-27,139
APAC,Australia,Store11,computer-15 inch,2020-09-27,46
APAC,Australia,Store12,phone-black,2020-09-27,146
APAC,Australia,Store12,phone-white,2020-09-27,64
APAC,Australia,Store12,computer-18 inch,2020-09-27,131
APAC,Australia,Store12,computer-15 inch,2020-09-27,87
APAC,Australia,Store11,phone-black,2020-09-28,63
APAC,Australia,Store11,phone-white,2020-09-28,24
APAC,Australia,Store11,computer-18 inch,2020-09-28,199
APAC,Australia,Store11,computer-15 inch,2020-09-28,119
APAC,Australia,Store12,phone-black,2020-09-28,147
APAC,Australia,Store12,phone-white,2020-09-28,220
APAC,Australia,Store12,computer-18 inch,2020-09-28,149
APAC,Australia,Store12,computer-15 inch,2020-09-28,147
APAC,Australia,Store11,phone-black,2020-09-29,53
APAC,Australia,Store11,phone-white,2020-09-29,115
APAC,Australia,Store11,computer-18 inch,2020-09-29,113
APAC,Australia,Store11,computer-15 inch,2020-09-29,100
APAC,Australia,Store12,phone-black,2020-09-29,224
APAC,Australia,Store12,phone-white,2020-09-29,95
APAC,Australia,Store12,computer-18 inch,2020-09-29,59
APAC,Australia,Store12,computer-15 inch,2020-09-29,134
APAC,Australia,Store11,phone-black,2020-09-30,52
APAC,Australia,Store11,phone-white,2020-09-30,111
APAC,Australia,Store11,computer-18 inch,2020-09-30,230
APAC,Australia,Store11,computer-15 inch,2020-09-30,160
APAC,Australia,Store12,phone-black,2020-09-30,183
APAC,Australia,Store12,phone-white,2020-09-30,186
APAC,Australia,Store12,computer-18 inch,2020-09-30,88
APAC,Australia,Store12,computer-15 inch,2020-09-30,154
APAC,Australia,Store11,phone-black,2020-10-01,68
APAC,Australia,Store11,phone-white,2020-10-01,125
APAC,Australia,Store11,computer-18 inch,2020-10-01,271
APAC,Australia,Store11,computer-15 inch,2020-10-01,174
APAC,Australia,Store12,phone-black,2020-10-01,201
APAC,Australia,Store12,phone-white,2020-10-01,184
APAC,Australia,Store12,computer-18 inch,2020-10-01,121
APAC,Australia,Store12,computer-15 inch,2020-10-01,180
APAC,Australia,Store11,phone-black,2020-10-02,47
APAC,Australia,Store11,phone-white,2020-10-02,103
APAC,Australia,Store11,computer-18 inch,2020-10-02,202
APAC,Australia,Store11,computer-15 inch,2020-10-02,141
APAC,Australia,Store12,phone-black,2020-10-02,165
APAC,Australia,Store12,phone-white,2020-10-02,170
APAC,Australia,Store12,computer-18 inch,2020-10-02,104
APAC,Australia,Store12,computer-15 inch,2020-10-02,106
APAC,Australia,Store11,phone-black,2020-10-03,62
APAC,Australia,Store11,phone-white,2020-10-03,102
APAC,Australia,Store11,computer-18 inch,2020-10-03,153
APAC,Australia,Store11,computer-15 inch,2020-10-03,147
APAC,Australia,Store12,phone-black,2020-10-03,138
APAC,Australia,Store12,phone-white,2020-10-03,157
APAC,Australia,Store12,computer-18 inch,2020-10-03,87
APAC,Australia,Store12,computer-15 inch,2020-10-03,113
APAC,Australia,Store11,phone-black,2020-10-04,46
APAC,Australia,Store11,phone-white,2020-10-04,101
APAC,Australia,Store11,computer-18 inch,2020-10-04,178
APAC,Australia,Store11,computer-15 inch,2020-10-04,140
APAC,Australia,Store12,phone-black,2020-10-04,165
APAC,Australia,Store12,phone-white,2020-10-04,170
APAC,Australia,Store12,computer-18 inch,2020-10-04,55
APAC,Australia,Store12,computer-15 inch,2020-10-04,110
APAC,Australia,Store11,phone-black,2020-10-05,35
APAC,Australia,Store11,phone-white,2020-10-05,75
APAC,Australia,Store11,computer-18 inch,2020-10-05,185
APAC,Australia,Store11,computer-15 inch,2020-10-05,155
APAC,Australia,Store12,phone-black,2020-10-05,129
APAC,Australia,Store12,phone-white,2020-10-05,212
APAC,Australia,Store12,computer-18 inch,2020-10-05,109
APAC,Australia,Store12,computer-15 inch,2020-10-05,173
APAC,Australia,Store11,phone-black,2020-10-06,44
APAC,Australia,Store11,phone-white,2020-10-06,125
APAC,Australia,Store11,computer-18 inch,2020-10-06,215
APAC,Australia,Store11,computer-15 inch,2020-10-06,99
APAC,Australia,Store12,phone-black,2020-10-06,183
APAC,Australia,Store12,phone-white,2020-10-06,208
APAC,Australia,Store12,computer-18 inch,2020-10-06,102
APAC,Australia,Store12,computer-15 inch,2020-10-06,57
APAC,Australia,Store11,phone-black,2020-10-07,85
APAC,Australia,Store11,phone-white,2020-10-07,49
APAC,Australia,Store11,computer-18 inch,2020-10-07,173
APAC,Australia,Store11,computer-15 inch,2020-10-07,106
APAC,Australia,Store12,phone-black,2020-10-07,209
APAC,Australia,Store12,phone-white,2020-10-07,180
APAC,Australia,Store12,computer-18 inch,2020-10-07,114
APAC,Australia,Store12,computer-15 inch,2020-10-07,200
APAC,Australia,Store11,phone-black,2020-10-08,78
APAC,Australia,Store11,phone-white,2020-10-08,60
APAC,Australia,Store11,computer-18 inch,2020-10-08,189
APAC,Australia,Store11,computer-15 inch,2020-10-08,132
APAC,Australia,Store12,phone-black,2020-10-08,167
APAC,Australia,Store12,phone-white,2020-10-08,235
APAC,Australia,Store12,computer-18 inch,2020-10-08,82
APAC,Australia,Store12,computer-15 inch,2020-10-08,3
APAC,Australia,Store11,phone-black,2020-10-09,47
APAC,Australia,Store11,phone-white,2020-10-09,90
APAC,Australia,Store11,computer-18 inch,2020-10-09,201
APAC,Australia,Store11,computer-15 inch,2020-10-09,168
APAC,Australia,Store12,phone-black,2020-10-09,176
APAC,Australia,Store12,phone-white,2020-10-09,201
APAC,Australia,Store12,computer-18 inch,2020-10-09,135
APAC,Australia,Store12,computer-15 inch,2020-10-09,180
APAC,Australia,Store11,phone-black,2020-10-10,37
APAC,Australia,Store11,phone-white,2020-10-10,42
APAC,Australia,Store11,computer-18 inch,2020-10-10,165
APAC,Australia,Store11,computer-15 inch,2020-10-10,117
APAC,Australia,Store12,phone-black,2020-10-10,248
APAC,Australia,Store12,phone-white,2020-10-10,194
APAC,Australia,Store12,computer-18 inch,2020-10-10,77
APAC,Australia,Store12,computer-15 inch,2020-10-10,122
APAC,Australia,Store11,phone-black,2020-10-11,47
APAC,Australia,Store11,phone-white,2020-10-11,90
APAC,Australia,Store11,computer-18 inch,2020-10-11,188
APAC,Australia,Store11,computer-15 inch,2020-10-11,77
APAC,Australia,Store12,phone-black,2020-10-11,105
APAC,Australia,Store12,phone-white,2020-10-11,175
APAC,Australia,Store12,computer-18 inch,2020-10-11,138
APAC,Australia,Store12,computer-15 inch,2020-10-11,93
APAC,Australia,Store11,phone-black,2020-10-12,62
APAC,Australia,Store11,phone-white,2020-10-12,107
APAC,Australia,Store11,computer-18 inch,2020-10-12,196
APAC,Australia,Store11,computer-15 inch,2020-10-12,147
APAC,Australia,Store12,phone-black,2020-10-12,175
APAC,Australia,Store12,phone-white,2020-10-12,177
APAC,Australia,Store12,computer-18 inch,2020-10-12,123
APAC,Australia,Store12,computer-15 inch,2020-10-12,95
APAC,Australia,Store11,phone-black,2020-10-13,45
APAC,Australia,Store11,phone-white,2020-10-13,125
APAC,Australia,Store11,computer-18 inch,2020-10-13,139
APAC,Australia,Store11,computer-15 inch,2020-10-13,155
APAC,Australia,Store12,phone-black,2020-10-13,179
APAC,Australia,Store12,phone-white,2020-10-13,184
APAC,Australia,Store12,computer-18 inch,2020-10-13,122
APAC,Australia,Store12,computer-15 inch,2020-10-13,159
APAC,Australia,Store11,phone-black,2020-10-14,82
APAC,Australia,Store11,phone-white,2020-10-14,90
APAC,Australia,Store11,computer-18 inch,2020-10-14,274
APAC,Australia,Store11,computer-15 inch,2020-10-14,155
APAC,Australia,Store12,phone-black,2020-10-14,185
APAC,Australia,Store12,phone-white,2020-10-14,221
APAC,Australia,Store12,computer-18 inch,2020-10-14,112
APAC,Australia,Store12,computer-15 inch,2020-10-14,162
APAC,Australia,Store11,phone-black,2020-10-15,45
APAC,Australia,Store11,phone-white,2020-10-15,156
APAC,Australia,Store11,computer-18 inch,2020-10-15,266
APAC,Australia,Store11,computer-15 inch,2020-10-15,183
APAC,Australia,Store12,phone-black,2020-10-15,132
APAC,Australia,Store12,phone-white,2020-10-15,234
APAC,Australia,Store12,computer-18 inch,2020-10-15,100
APAC,Australia,Store12,computer-15 inch,2020-10-15,107
APAC,Australia,Store11,phone-black,2020-10-16,70
APAC,Australia,Store11,phone-white,2020-10-16,82
APAC,Australia,Store11,computer-18 inch,2020-10-16,213
APAC,Australia,Store11,computer-15 inch,2020-10-16,141
APAC,Australia,Store12,phone-black,2020-10-16,124
APAC,Australia,Store12,phone-white,2020-10-16,160
APAC,Australia,Store12,computer-18 inch,2020-10-16,123
APAC,Australia,Store12,computer-15 inch,2020-10-16,173
APAC,Australia,Store11,phone-black,2020-10-17,35
APAC,Australia,Store11,phone-white,2020-10-17,108
APAC,Australia,Store11,computer-18 inch,2020-10-17,218
APAC,Australia,Store11,computer-15 inch,2020-10-17,101
APAC,Australia,Store12,phone-black,2020-10-17,109
APAC,Australia,Store12,phone-white,2020-10-17,199
APAC,Australia,Store12,computer-18 inch,2020-10-17,75
APAC,Australia,Store12,computer-15 inch,2020-10-17,126
APAC,Australia,Store11,phone-black,2020-10-18,47
APAC,Australia,Store11,phone-white,2020-10-18,66
APAC,Australia,Store11,computer-18 inch,2020-10-18,204
APAC,Australia,Store11,computer-15 inch,2020-10-18,136
APAC,Australia,Store12,phone-black,2020-10-18,78
APAC,Australia,Store12,phone-white,2020-10-18,152
APAC,Australia,Store12,computer-18 inch,2020-10-18,109
APAC,Australia,Store12,computer-15 inch,2020-10-18,166
APAC,Australia,Store11,phone-black,2020-10-19,59
APAC,Australia,Store11,phone-white,2020-10-19,73
APAC,Australia,Store11,computer-18 inch,2020-10-19,182
APAC,Australia,Store11,computer-15 inch,2020-10-19,132
APAC,Australia,Store12,phone-black,2020-10-19,121
APAC,Australia,Store12,phone-white,2020-10-19,143
APAC,Australia,Store12,computer-18 inch,2020-10-19,163
APAC,Australia,Store12,computer-15 inch,2020-10-19,164
APAC,Australia,Store11,phone-black,2020-10-20,83
APAC,Australia,Store11,phone-white,2020-10-20,59
APAC,Australia,Store11,computer-18 inch,2020-10-20,165
APAC,Australia,Store11,computer-15 inch,2020-10-20,150
APAC,Australia,Store12,phone-black,2020-10-20,123
APAC,Australia,Store12,phone-white,2020-10-20,182
APAC,Australia,Store12,computer-18 inch,2020-10-20,102
APAC,Australia,Store12,computer-15 inch,2020-10-20,145
APAC,Australia,Store11,phone-black,2020-10-21,45
APAC,Australia,Store11,phone-white,2020-10-21,104
APAC,Australia,Store11,computer-18 inch,2020-10-21,199
APAC,Australia,Store11,computer-15 inch,2020-10-21,187
APAC,Australia,Store12,phone-black,2020-10-21,115
APAC,Australia,Store12,phone-white,2020-10-21,125
APAC,Australia,Store12,computer-18 inch,2020-10-21,118
APAC,Australia,Store12,computer-15 inch,2020-10-21,97
APAC,Australia,Store11,phone-black,2020-10-22,56
APAC,Australia,Store11,phone-white,2020-10-22,87
APAC,Australia,Store11,computer-18 inch,2020-10-22,179
APAC,Australia,Store11,computer-15 inch,2020-10-22,206
APAC,Australia,Store12,phone-black,2020-10-22,168
APAC,Australia,Store12,phone-white,2020-10-22,163
APAC,Australia,Store12,computer-18 inch,2020-10-22,120
APAC,Australia,Store12,computer-15 inch,2020-10-22,175
APAC,Australia,Store11,phone-black,2020-10-23,45
APAC,Australia,Store11,phone-white,2020-10-23,99
APAC,Australia,Store11,computer-18 inch,2020-10-23,237
APAC,Australia,Store11,computer-15 inch,2020-10-23,155
APAC,Australia,Store12,phone-black,2020-10-23,233
APAC,Australia,Store12,phone-white,2020-10-23,245
APAC,Australia,Store12,computer-18 inch,2020-10-23,90
APAC,Australia,Store12,computer-15 inch,2020-10-23,169
APAC,Australia,Store11,phone-black,2020-10-24,72
APAC,Australia,Store11,phone-white,2020-10-24,61
APAC,Australia,Store11,computer-18 inch,2020-10-24,157
APAC,Australia,Store11,computer-15 inch,2020-10-24,137
APAC,Australia,Store12,phone-black,2020-10-24,134
APAC,Australia,Store12,phone-white,2020-10-24,72
APAC,Australia,Store12,computer-18 inch,2020-10-24,171
APAC,Australia,Store12,computer-15 inch,2020-10-24,180
APAC,Australia,Store11,phone-black,2020-10-25,69
APAC,Australia,Store11,phone-white,2020-10-25,90
APAC,Australia,Store11,computer-18 inch,2020-10-25,147
APAC,Australia,Store11,computer-15 inch,2020-10-25,125
APAC,Australia,Store12,phone-black,2020-10-25,208
APAC,Australia,Store12,phone-white,2020-10-25,177
APAC,Australia,Store12,computer-18 inch,2020-10-25,71
APAC,Australia,Store12,computer-15 inch,2020-10-25,84
APAC,Australia,Store11,phone-black,2020-10-26,56
APAC,Australia,Store11,phone-white,2020-10-26,135
APAC,Australia,Store11,computer-18 inch,2020-10-26,246
APAC,Australia,Store11,computer-15 inch,2020-10-26,130
APAC,Australia,Store12,phone-black,2020-10-26,272
APAC,Australia,Store12,phone-white,2020-10-26,221
APAC,Australia,Store12,computer-18 inch,2020-10-26,94
APAC,Australia,Store12,computer-15 inch,2020-10-26,149
APAC,Australia,Store11,phone-black,2020-10-27,61
APAC,Australia,Store11,phone-white,2020-10-27,110
APAC,Australia,Store11,computer-18 inch,2020-10-27,67
APAC,Australia,Store11,computer-15 inch,2020-10-27,182
APAC,Australia,Store12,phone-black,2020-10-27,163
APAC,Australia,Store12,phone-white,2020-10-27,247
APAC,Australia,Store12,computer-18 inch,2020-10-27,87
APAC,Australia,Store12,computer-15 inch,2020-10-27,189
APAC,Australia,Store11,phone-black,2020-10-28,54
APAC,Australia,Store11,phone-white,2020-10-28,51
APAC,Australia,Store11,computer-18 inch,2020-10-28,240
APAC,Australia,Store11,computer-15 inch,2020-10-28,161
APAC,Australia,Store12,phone-black,2020-10-28,256
APAC,Australia,Store12,phone-white,2020-10-28,231
APAC,Australia,Store12,computer-18 inch,2020-10-28,111
APAC,Australia,Store12,computer-15 inch,2020-10-28,174
APAC,Australia,Store11,phone-black,2020-10-29,77
APAC,Australia,Store11,phone-white,2020-10-29,127
APAC,Australia,Store11,computer-18 inch,2020-10-29,232
APAC,Australia,Store11,computer-15 inch,2020-10-29,162
APAC,Australia,Store12,phone-black,2020-10-29,177
APAC,Australia,Store12,phone-white,2020-10-29,139
APAC,Australia,Store12,computer-18 inch,2020-10-29,59
APAC,Australia,Store12,computer-15 inch,2020-10-29,185
APAC,Australia,Store11,phone-black,2020-10-30,41
APAC,Australia,Store11,phone-white,2020-10-30,82
APAC,Australia,Store11,computer-18 inch,2020-10-30,166
APAC,Australia,Store11,computer-15 inch,2020-10-30,163
APAC,Australia,Store12,phone-black,2020-10-30,230
APAC,Australia,Store12,phone-white,2020-10-30,295
APAC,Australia,Store12,computer-18 inch,2020-10-30,145
APAC,Australia,Store12,computer-15 inch,2020-10-30,100
APAC,Australia,Store11,phone-black,2020-10-31,73
APAC,Australia,Store11,phone-white,2020-10-31,108
APAC,Australia,Store11,computer-18 inch,2020-10-31,194
APAC,Australia,Store11,computer-15 inch,2020-10-31,135
APAC,Australia,Store12,phone-black,2020-10-31,118
APAC,Australia,Store12,phone-white,2020-10-31,207
APAC,Australia,Store12,computer-18 inch,2020-10-31,134
APAC,Australia,Store12,computer-15 inch,2020-10-31,133
APAC,Australia,Store11,phone-black,2020-11-01,44
APAC,Australia,Store11,phone-white,2020-11-01,88
APAC,Australia,Store11,computer-18 inch,2020-11-01,153
APAC,Australia,Store11,computer-15 inch,2020-11-01,84
APAC,Australia,Store12,phone-black,2020-11-01,141
APAC,Australia,Store12,phone-white,2020-11-01,198
APAC,Australia,Store12,computer-18 inch,2020-11-01,72
APAC,Australia,Store12,computer-15 inch,2020-11-01,160
APAC,Australia,Store11,phone-black,2020-11-02,65
APAC,Australia,Store11,phone-white,2020-11-02,101
APAC,Australia,Store11,computer-18 inch,2020-11-02,97
APAC,Australia,Store11,computer-15 inch,2020-11-02,180
APAC,Australia,Store12,phone-black,2020-11-02,265
APAC,Australia,Store12,phone-white,2020-11-02,213
APAC,Australia,Store12,computer-18 inch,2020-11-02,122
APAC,Australia,Store12,computer-15 inch,2020-11-02,166
APAC,Australia,Store11,phone-black,2020-11-03,44
APAC,Australia,Store11,phone-white,2020-11-03,141
APAC,Australia,Store11,computer-18 inch,2020-11-03,267
